gas_zone,cost_adder
AL,5.66682924392498
AR,8.75875396058576
AZ,5.56123823832254
CA,3.63364998946197
CO,9.14990728476566
CT,3.41598241481954
DC,5.38271223464861
DE,7.14400038193521
FL,3.58095717347793
GA,4.33288429695305
IA,5.12562540889183
ID,6.79862060399657
IL,3.57781586349758
IN,4.00282974012549
KS,6.28716352078019
KY,5.86407973656704
LA,8.53157366573028
MA,0
MD,8.12479118254454
ME,0
MI,3.1544307489895
MN,5.5147509403912
MO,4.97330910648453
MS,6.65813656444754
MT,7.11621559262052
NC,3.42596469210059
ND,5.52106304662584
NE,5.69408018996578
NH,0
NJ,6.96129260884767
NM,6.6142316836779
NV,7.44997702618983
NY,4.94742050485065
OH,5.96925059825884
OK,7.85060011828537
OR,4.27996246178922
PA,7.24765813403117
RI,3.15657146552695
SC,4.78782788850133
SD,4.16704837310881
TN,7.97254900822765
TX,7.40751726563986
UT,11.4048926624165
VA,7.0400972367425
VT,0
WA,6.00628339295284
WI,4.131362305793
WV,6.87463665478996
WY,8.03423005647514
