GAS_ZONES,TIMESERIES,gas_demand_ref_quantity,gas_ref_price
AL,20220101,1729576.64898706,3.84131550999438
AL,20220102,1801357.37000149,3.74551376962323
AL,20220103,2013732.91887296,3.64971202925208
AL,20220104,2746384.9477216,3.57426334539021
AL,20220105,2353044.12079862,3.55680665920693
AL,20220106,1968050.9087479,3.64045316105534
AL,20220107,2244734.576286,3.47495185005974
AL,20220108,2610352.68860939,3.50786179728256
AL,20220109,2116142.12484981,3.54077174450538
AL,20220110,1910947.45516325,3.5736816917282
AL,20220111,2337728.62354468,3.50918896741757
AL,20220112,2375946.7391484,3.82689293771367
AL,20220113,2230717.33516474,3.88797236905074
AL,20220114,2045380.8026958,3.49033948759637
AL,20220115,2096702.24915434,3.55356772553237
AL,20220116,2086914.05356168,3.61679596346838
AL,20220117,2573996.94246068,3.68002420140438
AL,20220118,2713185.9055533,3.97033067850804
AL,20220119,2352729.52352652,4.42150591688124
AL,20220120,1879877.45256956,4.16934136430314
AL,20220121,2599017.09360102,3.99020658267962
AL,20220122,3012409.84539099,4.17237549420587
AL,20220123,2908861.26744588,4.35454440573212
AL,20220124,2680503.4664335,4.53671331725838
AL,20220125,2225174.23023898,4.745741862266
AL,20220126,2255499.53270664,5.1379303651716
AL,20220127,2527666.53286814,5.32395615149043
AL,20220128,2257861.38609043,7.08580651779468
AL,20220129,2626835.95834092,7.29172034552222
AL,20220130,2966696.77673906,7.49763417324976
AL,20220131,2226844.41685143,7.70354800097731
AL,20220201,2072587.91614672,7.82454110721858
AL,20220202,1889337.51926031,9.96743869205639
AL,20220203,1703791.32867186,9.0026017157968
AL,20220204,1848346.64424442,8.52987937446899
AL,20220205,2938472.87104119,8.31687129661112
AL,20220206,2809791.65716015,8.10386321875325
AL,20220207,2416294.97138107,7.89085514089538
AL,20220208,2414327.16867505,7.91874015150757
AL,20220209,2316679.29373791,7.88105298506803
AL,20220210,2120124.19623898,7.9686696710871
AL,20220211,1986804.79454438,8.27768219995743
AL,20220212,1870830.4306874,8.50053696589286
AL,20220213,2036545.40759977,8.72339173182828
AL,20220214,2707048.84148323,8.9462464977637
AL,20220215,2331235.05102192,9.26289625479642
AL,20220216,1998611.91741277,9.18017586377993
AL,20220217,1709840.82866085,9.29864445398806
AL,20220218,1811074.7309599,9.12685895859226
AL,20220219,2691529.57567241,8.83264096768407
AL,20220220,2323716.8338357,8.53842297677588
AL,20220221,2000174.3135133,8.24420498586769
AL,20220222,1755693.3531754,7.9499869949595
AL,20220223,1648964.64221321,7.92534384182676
AL,20220224,1759594.31413914,8.03064370601181
AL,20220225,1730176.49387268,7.56868614737635
AL,20220226,2162698.08706237,7.284534089824
AL,20220227,2187450.5371005,7.00038203227166
AL,20220228,2175760.10875491,6.71622997471931
AL,20220301,2017432.9054259,6.38843197428666
AL,20220302,1941254.65740994,6.62945510744101
AL,20220303,1908987.10600524,6.42277899303537
AL,20220304,1884115.46265264,6.3978999643358
AL,20220305,1891245.29693397,6.30858567041538
AL,20220306,1737590.78293524,6.21927137649496
AL,20220307,1714561.11956779,6.12995708257454
AL,20220308,1766617.74262341,5.57735897242793
AL,20220309,1901426.72734408,5.35619323728488
AL,20220310,1985990.00332031,5.32616935215735
AL,20220311,1749633.52113634,5.33844435542907
AL,20220312,2015023.53064319,5.12976786699607
AL,20220313,3300865.38338231,4.92109137856307
AL,20220314,2465780.36053131,4.71241489013007
AL,20220315,1932789.09600199,4.45536124061832
AL,20220316,1668677.60223665,4.70929164582203
AL,20220317,1688204.3823976,4.86533394441705
AL,20220318,1710039.17439895,4.97235439199335
