gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap
AL,FL,1990,1021445,0
AL,FL,1994,124440,0
AL,FL,1995,554795,0
AL,FL,1998,25925,0
AL,FL,2001,207400,0
AL,FL,2002,1480836,0
AL,FL,2003,260287,0
AL,FL,2008,160735,0
AL,FL,2010,49776,0
AL,FL,2011,1014186,0
AL,FL,2012,41480,0
AL,FL,2022,98515,0
AL,GA,1990,5052264,0
AL,GA,1994,90219,0
AL,GA,1995,119255,0
AL,GA,1996,57035,0
AL,GA,1997,150365,0
AL,GA,1998,157624,0
AL,GA,2000,207400,0
AL,GA,2001,17629,0
AL,GA,2002,487390,0
AL,GA,2003,674050,0
AL,GA,2004,198067,0
AL,GA,2010,129625,0
AL,GA,2011,227103,0
AL,GA,2012,228140,0
AL,GA,2017,860710,0
AL,GA,2022,537166,0
AL,MS,1990,155550,0
AL,MS,1994,51850,0
AL,MS,2009,985150,0
AL,MS,2014,1140700,0
AL,MS,2015,388875,0
AL,MS,2016,357765,0
AL,MS,2017,518500,0
AL,MS,2022,77775,0
AL,TN,1990,3887713,0
AL,TN,1994,346358,0
AL,TN,2004,59109,0
AL,TN,2022,0,0
AR,LA,1990,732122,0
AR,LA,2015,777750,0
AR,LA,2016,786046,0
AR,LA,2017,2479467,0
AR,LA,2022,0,0
AR,MO,1990,2915007,0
AR,MO,1994,0,51850
AR,MO,1996,2074,0
AR,MO,1997,0,2074
AR,MO,2022,0,0
AR,MS,1990,8822796,0
AR,MS,1994,198067,0
AR,MS,2000,0,264435
AR,MS,2009,1002779,0
AR,MS,2010,2074000,0
AR,MS,2022,0,0
AR,OK,1990,20740,0
AR,OK,2022,0,0
AR,TN,2022,0,0
AR,TX,1990,658495,0
AR,TX,1994,119255,0
AR,TX,2022,788120,0
AZ,CA,1990,3608760,0
AZ,CA,1994,1394765,0
AZ,CA,2002,964410,0
AZ,CA,2005,520574,0
AZ,CA,2022,530944,0
AZ,CO,2022,0,0
AZ,NM,2022,0,0
AZ,NV,1990,171105,0
AZ,NV,2022,0,0
AZ,UT,2022,0,0
CA,AZ,2007,636718,0
CA,AZ,2010,83997,0
CA,AZ,2022,0,0
CA,NV,1995,111996,0
CA,NV,2002,55998,0
CA,NV,2022,15555,0
CA,OR,2022,0,0
CO,AZ,2022,0,0
CO,KS,1990,435540,0
CO,KS,1994,31110,0
CO,KS,1997,31110,0
CO,KS,2000,89182,0
CO,KS,2004,580720,0
CO,KS,2005,284138,0
CO,KS,2007,30073,0
CO,KS,2008,93330,0
CO,KS,2022,0,0
CO,NE,1990,442799,0
CO,NE,1997,497760,0
CO,NE,2002,335988,0
CO,NE,2004,64294,0
CO,NE,2008,1555500,0
CO,NE,2009,311100,0
CO,NE,2014,0,264435
CO,NE,2022,0,0
CO,NM,1990,614941,0
CO,NM,1994,402356,0
CO,NM,1995,54961,0
CO,NM,1996,255102,0
CO,NM,1998,145180,0
CO,NM,1999,311100,0
CO,NM,2004,282064,0
CO,NM,2022,0,0
CO,OK,1990,207400,0
CO,OK,1994,51850,0
CO,OK,2001,86071,0
CO,OK,2002,49776,0
CO,OK,2005,107848,0
CO,OK,2007,30073,0
CO,OK,2022,0,0
CO,UT,1990,428281,0
CO,UT,2010,155550,0
CO,UT,2022,0,0
CO,WY,1990,463539,0
CO,WY,1994,309026,0
CO,WY,1997,108885,0
CO,WY,2002,335988,0
CO,WY,2006,1131367,0
CO,WY,2007,674050,0
CO,WY,2008,1555500,0
CO,WY,2009,311100,0
CO,WY,2022,0,0
CT,MA,1990,82960,0
CT,MA,2022,46665,0
CT,NY,1994,259250,0
CT,NY,1998,36295,0
CT,NY,2002,81923,0
CT,NY,2004,58072,0
CT,NY,2008,103700,0
CT,NY,2009,103700,0
CT,NY,2010,285175,0
CT,NY,2022,0,0
CT,RI,1990,689605,0
CT,RI,1994,98515,0
CT,RI,2016,354654,0
CT,RI,2017,41480,0
CT,RI,2022,96441,0
DC,MD,2022,0,0
DC,VA,2022,0,0
DE,MD,1990,10370,0
DE,MD,1997,5185,0
DE,MD,1998,1037,0
DE,MD,2005,6222,0
DE,MD,2022,14518,0
DE,NJ,1994,146217,0
DE,NJ,2022,0,0
DE,PA,2022,0,0
FL,AL,2022,0,0
FL,GA,2022,0,0
