GAS_ZONES,DRILL_TYPE,OG_well_capital_cost,OG_percentage_drill_type
MI,D,648179.072344841,0.0595551780577087
OH,D,648333.271311249,0.0779892243205962
PA,D,615026.294567063,0.00299563509461676
MD,D,648179.072344841,0.0595551780577087
OH,H,4700980.66463695,99.5161262829753
KY,H,2818755.12822171,63.3751927415389
MI,H,4460845.27043753,99.4592301711496
PA,H,3970955.63212181,90.3921665417477
MD,H,4460845.27043753,99.4592301711496
WV,H,3823117.03166186,99.757541778672
OH,V,513830.196648361,0.405884492704123
MI,V,491009.089863222,0.481214650792732
TN,V,491009.089863222,100
PA,V,585257.216625713,9.60483782315767
MD,V,491009.089863222,0.481214650792732
WV,V,375428.762504118,0.242458221327998
KY,V,491009.089863222,36.6248072584611
OK,D,7200000,0.140679397742949
IN,D,7200000,0.140679397742949
IL,D,7200000,0.140679397742949
IL,H,5526611.51743849,95.555648973121
IN,H,5526611.51743849,95.555648973121
OK,H,5526611.51743849,95.555648973121
IL,V,1973594.11049107,4.30367162913604
OK,V,1973594.11049107,4.30367162913604
IN,V,1973594.11049107,4.30367162913604
SD,D,1669689.01994167,0.0178407777268728
ND,D,1669689.01994167,0.0178407777268728
SD,H,3742347.98086296,99.9393684363404
ND,H,3742347.98086296,99.9393684363404
ND,V,811586.241310095,0.0427907859327234
SD,V,811586.241310095,0.0427907859327234
