timepoint_id,timestamp,timeseries
2022010106,2022-01-01-06:00,20220101
2022010112,2022-01-01-12:00,20220101
2022010118,2022-01-01-18:00,20220101
2022010124,2022-01-01-24:00,20220101
2022010206,2022-01-02-06:00,20220102
2022010212,2022-01-02-12:00,20220102
2022010218,2022-01-02-18:00,20220102
2022010224,2022-01-02-24:00,20220102
2022010306,2022-01-03-06:00,20220103
2022010312,2022-01-03-12:00,20220103
2022010318,2022-01-03-18:00,20220103
2022010324,2022-01-03-24:00,20220103
2022010406,2022-01-04-06:00,20220104
2022010412,2022-01-04-12:00,20220104
2022010418,2022-01-04-18:00,20220104
2022010424,2022-01-04-24:00,20220104
2022010506,2022-01-05-06:00,20220105
2022010512,2022-01-05-12:00,20220105
2022010518,2022-01-05-18:00,20220105
2022010524,2022-01-05-24:00,20220105
2022010606,2022-01-06-06:00,20220106
2022010612,2022-01-06-12:00,20220106
2022010618,2022-01-06-18:00,20220106
2022010624,2022-01-06-24:00,20220106
2022010706,2022-01-07-06:00,20220107
2022010712,2022-01-07-12:00,20220107
2022010718,2022-01-07-18:00,20220107
2022010724,2022-01-07-24:00,20220107
2022010806,2022-01-08-06:00,20220108
2022010812,2022-01-08-12:00,20220108
2022010818,2022-01-08-18:00,20220108
2022010824,2022-01-08-24:00,20220108
2022010906,2022-01-09-06:00,20220109
2022010912,2022-01-09-12:00,20220109
2022010918,2022-01-09-18:00,20220109
2022010924,2022-01-09-24:00,20220109
2022011006,2022-01-10-06:00,20220110
2022011012,2022-01-10-12:00,20220110
2022011018,2022-01-10-18:00,20220110
2022011024,2022-01-10-24:00,20220110
2022011106,2022-01-11-06:00,20220111
2022011112,2022-01-11-12:00,20220111
2022011118,2022-01-11-18:00,20220111
2022011124,2022-01-11-24:00,20220111
2022011206,2022-01-12-06:00,20220112
2022011212,2022-01-12-12:00,20220112
2022011218,2022-01-12-18:00,20220112
2022011224,2022-01-12-24:00,20220112
2022011306,2022-01-13-06:00,20220113
2022011312,2022-01-13-12:00,20220113
2022011318,2022-01-13-18:00,20220113
2022011324,2022-01-13-24:00,20220113
2022011406,2022-01-14-06:00,20220114
2022011412,2022-01-14-12:00,20220114
2022011418,2022-01-14-18:00,20220114
2022011424,2022-01-14-24:00,20220114
2022011506,2022-01-15-06:00,20220115
2022011512,2022-01-15-12:00,20220115
2022011518,2022-01-15-18:00,20220115
2022011524,2022-01-15-24:00,20220115
2022011606,2022-01-16-06:00,20220116
2022011612,2022-01-16-12:00,20220116
2022011618,2022-01-16-18:00,20220116
2022011624,2022-01-16-24:00,20220116
2022011706,2022-01-17-06:00,20220117
2022011712,2022-01-17-12:00,20220117
2022011718,2022-01-17-18:00,20220117
2022011724,2022-01-17-24:00,20220117
2022011806,2022-01-18-06:00,20220118
2022011812,2022-01-18-12:00,20220118
2022011818,2022-01-18-18:00,20220118
2022011824,2022-01-18-24:00,20220118
2022011906,2022-01-19-06:00,20220119
2022011912,2022-01-19-12:00,20220119
2022011918,2022-01-19-18:00,20220119
2022011924,2022-01-19-24:00,20220119
2022012006,2022-01-20-06:00,20220120
2022012012,2022-01-20-12:00,20220120
2022012018,2022-01-20-18:00,20220120
2022012024,2022-01-20-24:00,20220120
2022012106,2022-01-21-06:00,20220121
2022012112,2022-01-21-12:00,20220121
2022012118,2022-01-21-18:00,20220121
2022012124,2022-01-21-24:00,20220121
2022012206,2022-01-22-06:00,20220122
2022012212,2022-01-22-12:00,20220122
2022012218,2022-01-22-18:00,20220122
2022012224,2022-01-22-24:00,20220122
2022012306,2022-01-23-06:00,20220123
2022012312,2022-01-23-12:00,20220123
2022012318,2022-01-23-18:00,20220123
2022012324,2022-01-23-24:00,20220123
2022012406,2022-01-24-06:00,20220124
2022012412,2022-01-24-12:00,20220124
2022012418,2022-01-24-18:00,20220124
2022012424,2022-01-24-24:00,20220124
2022012506,2022-01-25-06:00,20220125
2022012512,2022-01-25-12:00,20220125
2022012518,2022-01-25-18:00,20220125
2022012524,2022-01-25-24:00,20220125
2022012606,2022-01-26-06:00,20220126
2022012612,2022-01-26-12:00,20220126
2022012618,2022-01-26-18:00,20220126
2022012624,2022-01-26-24:00,20220126
2022012706,2022-01-27-06:00,20220127
2022012712,2022-01-27-12:00,20220127
2022012718,2022-01-27-18:00,20220127
2022012724,2022-01-27-24:00,20220127
2022012806,2022-01-28-06:00,20220128
2022012812,2022-01-28-12:00,20220128
2022012818,2022-01-28-18:00,20220128
2022012824,2022-01-28-24:00,20220128
2022012906,2022-01-29-06:00,20220129
2022012912,2022-01-29-12:00,20220129
2022012918,2022-01-29-18:00,20220129
2022012924,2022-01-29-24:00,20220129
2022013006,2022-01-30-06:00,20220130
2022013012,2022-01-30-12:00,20220130
2022013018,2022-01-30-18:00,20220130
2022013024,2022-01-30-24:00,20220130
2022013106,2022-01-31-06:00,20220131
2022013112,2022-01-31-12:00,20220131
2022013118,2022-01-31-18:00,20220131
2022013124,2022-01-31-24:00,20220131
2022020106,2022-02-01-06:00,20220201
2022020112,2022-02-01-12:00,20220201
2022020118,2022-02-01-18:00,20220201
2022020124,2022-02-01-24:00,20220201
2022020206,2022-02-02-06:00,20220202
2022020212,2022-02-02-12:00,20220202
2022020218,2022-02-02-18:00,20220202
2022020224,2022-02-02-24:00,20220202
2022020306,2022-02-03-06:00,20220203
2022020312,2022-02-03-12:00,20220203
2022020318,2022-02-03-18:00,20220203
2022020324,2022-02-03-24:00,20220203
2022020406,2022-02-04-06:00,20220204
2022020412,2022-02-04-12:00,20220204
2022020418,2022-02-04-18:00,20220204
2022020424,2022-02-04-24:00,20220204
2022020506,2022-02-05-06:00,20220205
2022020512,2022-02-05-12:00,20220205
2022020518,2022-02-05-18:00,20220205
2022020524,2022-02-05-24:00,20220205
2022020606,2022-02-06-06:00,20220206
2022020612,2022-02-06-12:00,20220206
2022020618,2022-02-06-18:00,20220206
2022020624,2022-02-06-24:00,20220206
2022020706,2022-02-07-06:00,20220207
2022020712,2022-02-07-12:00,20220207
2022020718,2022-02-07-18:00,20220207
2022020724,2022-02-07-24:00,20220207
2022020806,2022-02-08-06:00,20220208
2022020812,2022-02-08-12:00,20220208
2022020818,2022-02-08-18:00,20220208
2022020824,2022-02-08-24:00,20220208
2022020906,2022-02-09-06:00,20220209
2022020912,2022-02-09-12:00,20220209
2022020918,2022-02-09-18:00,20220209
2022020924,2022-02-09-24:00,20220209
2022021006,2022-02-10-06:00,20220210
2022021012,2022-02-10-12:00,20220210
2022021018,2022-02-10-18:00,20220210
2022021024,2022-02-10-24:00,20220210
2022021106,2022-02-11-06:00,20220211
2022021112,2022-02-11-12:00,20220211
2022021118,2022-02-11-18:00,20220211
2022021124,2022-02-11-24:00,20220211
2022021206,2022-02-12-06:00,20220212
2022021212,2022-02-12-12:00,20220212
2022021218,2022-02-12-18:00,20220212
2022021224,2022-02-12-24:00,20220212
2022021306,2022-02-13-06:00,20220213
2022021312,2022-02-13-12:00,20220213
2022021318,2022-02-13-18:00,20220213
2022021324,2022-02-13-24:00,20220213
2022021406,2022-02-14-06:00,20220214
2022021412,2022-02-14-12:00,20220214
2022021418,2022-02-14-18:00,20220214
2022021424,2022-02-14-24:00,20220214
2022021506,2022-02-15-06:00,20220215
2022021512,2022-02-15-12:00,20220215
2022021518,2022-02-15-18:00,20220215
2022021524,2022-02-15-24:00,20220215
2022021606,2022-02-16-06:00,20220216
2022021612,2022-02-16-12:00,20220216
2022021618,2022-02-16-18:00,20220216
2022021624,2022-02-16-24:00,20220216
2022021706,2022-02-17-06:00,20220217
2022021712,2022-02-17-12:00,20220217
2022021718,2022-02-17-18:00,20220217
2022021724,2022-02-17-24:00,20220217
2022021806,2022-02-18-06:00,20220218
2022021812,2022-02-18-12:00,20220218
2022021818,2022-02-18-18:00,20220218
2022021824,2022-02-18-24:00,20220218
2022021906,2022-02-19-06:00,20220219
2022021912,2022-02-19-12:00,20220219
2022021918,2022-02-19-18:00,20220219
2022021924,2022-02-19-24:00,20220219
2022022006,2022-02-20-06:00,20220220
2022022012,2022-02-20-12:00,20220220
2022022018,2022-02-20-18:00,20220220
2022022024,2022-02-20-24:00,20220220
2022022106,2022-02-21-06:00,20220221
2022022112,2022-02-21-12:00,20220221
2022022118,2022-02-21-18:00,20220221
2022022124,2022-02-21-24:00,20220221
2022022206,2022-02-22-06:00,20220222
2022022212,2022-02-22-12:00,20220222
2022022218,2022-02-22-18:00,20220222
2022022224,2022-02-22-24:00,20220222
2022022306,2022-02-23-06:00,20220223
2022022312,2022-02-23-12:00,20220223
2022022318,2022-02-23-18:00,20220223
2022022324,2022-02-23-24:00,20220223
2022022406,2022-02-24-06:00,20220224
2022022412,2022-02-24-12:00,20220224
2022022418,2022-02-24-18:00,20220224
2022022424,2022-02-24-24:00,20220224
2022022506,2022-02-25-06:00,20220225
2022022512,2022-02-25-12:00,20220225
2022022518,2022-02-25-18:00,20220225
2022022524,2022-02-25-24:00,20220225
2022022606,2022-02-26-06:00,20220226
2022022612,2022-02-26-12:00,20220226
2022022618,2022-02-26-18:00,20220226
2022022624,2022-02-26-24:00,20220226
2022022706,2022-02-27-06:00,20220227
2022022712,2022-02-27-12:00,20220227
2022022718,2022-02-27-18:00,20220227
2022022724,2022-02-27-24:00,20220227
2022022806,2022-02-28-06:00,20220228
2022022812,2022-02-28-12:00,20220228
2022022818,2022-02-28-18:00,20220228
2022022824,2022-02-28-24:00,20220228
2022030106,2022-03-01-06:00,20220301
2022030112,2022-03-01-12:00,20220301
2022030118,2022-03-01-18:00,20220301
2022030124,2022-03-01-24:00,20220301
2022030206,2022-03-02-06:00,20220302
2022030212,2022-03-02-12:00,20220302
2022030218,2022-03-02-18:00,20220302
2022030224,2022-03-02-24:00,20220302
2022030306,2022-03-03-06:00,20220303
2022030312,2022-03-03-12:00,20220303
2022030318,2022-03-03-18:00,20220303
2022030324,2022-03-03-24:00,20220303
2022030406,2022-03-04-06:00,20220304
2022030412,2022-03-04-12:00,20220304
2022030418,2022-03-04-18:00,20220304
2022030424,2022-03-04-24:00,20220304
2022030506,2022-03-05-06:00,20220305
2022030512,2022-03-05-12:00,20220305
2022030518,2022-03-05-18:00,20220305
2022030524,2022-03-05-24:00,20220305
2022030606,2022-03-06-06:00,20220306
2022030612,2022-03-06-12:00,20220306
2022030618,2022-03-06-18:00,20220306
2022030624,2022-03-06-24:00,20220306
2022030706,2022-03-07-06:00,20220307
2022030712,2022-03-07-12:00,20220307
2022030718,2022-03-07-18:00,20220307
2022030724,2022-03-07-24:00,20220307
2022030806,2022-03-08-06:00,20220308
2022030812,2022-03-08-12:00,20220308
2022030818,2022-03-08-18:00,20220308
2022030824,2022-03-08-24:00,20220308
2022030906,2022-03-09-06:00,20220309
2022030912,2022-03-09-12:00,20220309
2022030918,2022-03-09-18:00,20220309
2022030924,2022-03-09-24:00,20220309
2022031006,2022-03-10-06:00,20220310
2022031012,2022-03-10-12:00,20220310
2022031018,2022-03-10-18:00,20220310
2022031024,2022-03-10-24:00,20220310
2022031106,2022-03-11-06:00,20220311
2022031112,2022-03-11-12:00,20220311
2022031118,2022-03-11-18:00,20220311
2022031124,2022-03-11-24:00,20220311
2022031206,2022-03-12-06:00,20220312
2022031212,2022-03-12-12:00,20220312
2022031218,2022-03-12-18:00,20220312
2022031224,2022-03-12-24:00,20220312
2022031306,2022-03-13-06:00,20220313
2022031312,2022-03-13-12:00,20220313
2022031318,2022-03-13-18:00,20220313
2022031324,2022-03-13-24:00,20220313
2022031406,2022-03-14-06:00,20220314
2022031412,2022-03-14-12:00,20220314
2022031418,2022-03-14-18:00,20220314
2022031424,2022-03-14-24:00,20220314
2022031506,2022-03-15-06:00,20220315
2022031512,2022-03-15-12:00,20220315
2022031518,2022-03-15-18:00,20220315
2022031524,2022-03-15-24:00,20220315
2022031606,2022-03-16-06:00,20220316
2022031612,2022-03-16-12:00,20220316
2022031618,2022-03-16-18:00,20220316
2022031624,2022-03-16-24:00,20220316
2022031706,2022-03-17-06:00,20220317
2022031712,2022-03-17-12:00,20220317
2022031718,2022-03-17-18:00,20220317
2022031724,2022-03-17-24:00,20220317
2022031806,2022-03-18-06:00,20220318
2022031812,2022-03-18-12:00,20220318
2022031818,2022-03-18-18:00,20220318
2022031824,2022-03-18-24:00,20220318
2022031906,2022-03-19-06:00,20220319
2022031912,2022-03-19-12:00,20220319
2022031918,2022-03-19-18:00,20220319
2022031924,2022-03-19-24:00,20220319
2022032006,2022-03-20-06:00,20220320
2022032012,2022-03-20-12:00,20220320
2022032018,2022-03-20-18:00,20220320
2022032024,2022-03-20-24:00,20220320
2022032106,2022-03-21-06:00,20220321
2022032112,2022-03-21-12:00,20220321
2022032118,2022-03-21-18:00,20220321
2022032124,2022-03-21-24:00,20220321
2022032206,2022-03-22-06:00,20220322
2022032212,2022-03-22-12:00,20220322
2022032218,2022-03-22-18:00,20220322
2022032224,2022-03-22-24:00,20220322
2022032306,2022-03-23-06:00,20220323
2022032312,2022-03-23-12:00,20220323
2022032318,2022-03-23-18:00,20220323
2022032324,2022-03-23-24:00,20220323
2022032406,2022-03-24-06:00,20220324
2022032412,2022-03-24-12:00,20220324
2022032418,2022-03-24-18:00,20220324
2022032424,2022-03-24-24:00,20220324
2022032506,2022-03-25-06:00,20220325
2022032512,2022-03-25-12:00,20220325
2022032518,2022-03-25-18:00,20220325
2022032524,2022-03-25-24:00,20220325
2022032606,2022-03-26-06:00,20220326
2022032612,2022-03-26-12:00,20220326
2022032618,2022-03-26-18:00,20220326
2022032624,2022-03-26-24:00,20220326
2022032706,2022-03-27-06:00,20220327
2022032712,2022-03-27-12:00,20220327
2022032718,2022-03-27-18:00,20220327
2022032724,2022-03-27-24:00,20220327
2022032806,2022-03-28-06:00,20220328
2022032812,2022-03-28-12:00,20220328
2022032818,2022-03-28-18:00,20220328
2022032824,2022-03-28-24:00,20220328
2022032906,2022-03-29-06:00,20220329
2022032912,2022-03-29-12:00,20220329
2022032918,2022-03-29-18:00,20220329
2022032924,2022-03-29-24:00,20220329
2022033006,2022-03-30-06:00,20220330
2022033012,2022-03-30-12:00,20220330
2022033018,2022-03-30-18:00,20220330
2022033024,2022-03-30-24:00,20220330
2022033106,2022-03-31-06:00,20220331
2022033112,2022-03-31-12:00,20220331
2022033118,2022-03-31-18:00,20220331
2022033124,2022-03-31-24:00,20220331
2022040106,2022-04-01-06:00,20220401
2022040112,2022-04-01-12:00,20220401
2022040118,2022-04-01-18:00,20220401
2022040124,2022-04-01-24:00,20220401
2022040206,2022-04-02-06:00,20220402
2022040212,2022-04-02-12:00,20220402
2022040218,2022-04-02-18:00,20220402
2022040224,2022-04-02-24:00,20220402
2022040306,2022-04-03-06:00,20220403
2022040312,2022-04-03-12:00,20220403
2022040318,2022-04-03-18:00,20220403
2022040324,2022-04-03-24:00,20220403
2022040406,2022-04-04-06:00,20220404
2022040412,2022-04-04-12:00,20220404
2022040418,2022-04-04-18:00,20220404
2022040424,2022-04-04-24:00,20220404
2022040506,2022-04-05-06:00,20220405
2022040512,2022-04-05-12:00,20220405
2022040518,2022-04-05-18:00,20220405
2022040524,2022-04-05-24:00,20220405
2022040606,2022-04-06-06:00,20220406
2022040612,2022-04-06-12:00,20220406
2022040618,2022-04-06-18:00,20220406
2022040624,2022-04-06-24:00,20220406
2022040706,2022-04-07-06:00,20220407
2022040712,2022-04-07-12:00,20220407
2022040718,2022-04-07-18:00,20220407
2022040724,2022-04-07-24:00,20220407
2022040806,2022-04-08-06:00,20220408
2022040812,2022-04-08-12:00,20220408
2022040818,2022-04-08-18:00,20220408
2022040824,2022-04-08-24:00,20220408
2022040906,2022-04-09-06:00,20220409
2022040912,2022-04-09-12:00,20220409
2022040918,2022-04-09-18:00,20220409
2022040924,2022-04-09-24:00,20220409
2022041006,2022-04-10-06:00,20220410
2022041012,2022-04-10-12:00,20220410
2022041018,2022-04-10-18:00,20220410
2022041024,2022-04-10-24:00,20220410
2022041106,2022-04-11-06:00,20220411
2022041112,2022-04-11-12:00,20220411
2022041118,2022-04-11-18:00,20220411
2022041124,2022-04-11-24:00,20220411
2022041206,2022-04-12-06:00,20220412
2022041212,2022-04-12-12:00,20220412
2022041218,2022-04-12-18:00,20220412
2022041224,2022-04-12-24:00,20220412
2022041306,2022-04-13-06:00,20220413
2022041312,2022-04-13-12:00,20220413
2022041318,2022-04-13-18:00,20220413
2022041324,2022-04-13-24:00,20220413
2022041406,2022-04-14-06:00,20220414
2022041412,2022-04-14-12:00,20220414
2022041418,2022-04-14-18:00,20220414
2022041424,2022-04-14-24:00,20220414
2022041506,2022-04-15-06:00,20220415
2022041512,2022-04-15-12:00,20220415
2022041518,2022-04-15-18:00,20220415
2022041524,2022-04-15-24:00,20220415
2022041606,2022-04-16-06:00,20220416
2022041612,2022-04-16-12:00,20220416
2022041618,2022-04-16-18:00,20220416
2022041624,2022-04-16-24:00,20220416
2022041706,2022-04-17-06:00,20220417
2022041712,2022-04-17-12:00,20220417
2022041718,2022-04-17-18:00,20220417
2022041724,2022-04-17-24:00,20220417
2022041806,2022-04-18-06:00,20220418
2022041812,2022-04-18-12:00,20220418
2022041818,2022-04-18-18:00,20220418
2022041824,2022-04-18-24:00,20220418
2022041906,2022-04-19-06:00,20220419
2022041912,2022-04-19-12:00,20220419
2022041918,2022-04-19-18:00,20220419
2022041924,2022-04-19-24:00,20220419
2022042006,2022-04-20-06:00,20220420
2022042012,2022-04-20-12:00,20220420
2022042018,2022-04-20-18:00,20220420
2022042024,2022-04-20-24:00,20220420
2022042106,2022-04-21-06:00,20220421
2022042112,2022-04-21-12:00,20220421
2022042118,2022-04-21-18:00,20220421
2022042124,2022-04-21-24:00,20220421
2022042206,2022-04-22-06:00,20220422
2022042212,2022-04-22-12:00,20220422
2022042218,2022-04-22-18:00,20220422
2022042224,2022-04-22-24:00,20220422
2022042306,2022-04-23-06:00,20220423
2022042312,2022-04-23-12:00,20220423
2022042318,2022-04-23-18:00,20220423
2022042324,2022-04-23-24:00,20220423
2022042406,2022-04-24-06:00,20220424
2022042412,2022-04-24-12:00,20220424
2022042418,2022-04-24-18:00,20220424
2022042424,2022-04-24-24:00,20220424
2022042506,2022-04-25-06:00,20220425
2022042512,2022-04-25-12:00,20220425
2022042518,2022-04-25-18:00,20220425
2022042524,2022-04-25-24:00,20220425
2022042606,2022-04-26-06:00,20220426
2022042612,2022-04-26-12:00,20220426
2022042618,2022-04-26-18:00,20220426
2022042624,2022-04-26-24:00,20220426
2022042706,2022-04-27-06:00,20220427
2022042712,2022-04-27-12:00,20220427
2022042718,2022-04-27-18:00,20220427
2022042724,2022-04-27-24:00,20220427
2022042806,2022-04-28-06:00,20220428
2022042812,2022-04-28-12:00,20220428
2022042818,2022-04-28-18:00,20220428
2022042824,2022-04-28-24:00,20220428
2022042906,2022-04-29-06:00,20220429
2022042912,2022-04-29-12:00,20220429
2022042918,2022-04-29-18:00,20220429
2022042924,2022-04-29-24:00,20220429
2022043006,2022-04-30-06:00,20220430
2022043012,2022-04-30-12:00,20220430
2022043018,2022-04-30-18:00,20220430
2022043024,2022-04-30-24:00,20220430
2022050106,2022-05-01-06:00,20220501
2022050112,2022-05-01-12:00,20220501
2022050118,2022-05-01-18:00,20220501
2022050124,2022-05-01-24:00,20220501
2022050206,2022-05-02-06:00,20220502
2022050212,2022-05-02-12:00,20220502
2022050218,2022-05-02-18:00,20220502
2022050224,2022-05-02-24:00,20220502
2022050306,2022-05-03-06:00,20220503
2022050312,2022-05-03-12:00,20220503
2022050318,2022-05-03-18:00,20220503
2022050324,2022-05-03-24:00,20220503
2022050406,2022-05-04-06:00,20220504
2022050412,2022-05-04-12:00,20220504
2022050418,2022-05-04-18:00,20220504
2022050424,2022-05-04-24:00,20220504
2022050506,2022-05-05-06:00,20220505
2022050512,2022-05-05-12:00,20220505
2022050518,2022-05-05-18:00,20220505
2022050524,2022-05-05-24:00,20220505
2022050606,2022-05-06-06:00,20220506
2022050612,2022-05-06-12:00,20220506
2022050618,2022-05-06-18:00,20220506
2022050624,2022-05-06-24:00,20220506
2022050706,2022-05-07-06:00,20220507
2022050712,2022-05-07-12:00,20220507
2022050718,2022-05-07-18:00,20220507
2022050724,2022-05-07-24:00,20220507
2022050806,2022-05-08-06:00,20220508
2022050812,2022-05-08-12:00,20220508
2022050818,2022-05-08-18:00,20220508
2022050824,2022-05-08-24:00,20220508
2022050906,2022-05-09-06:00,20220509
2022050912,2022-05-09-12:00,20220509
2022050918,2022-05-09-18:00,20220509
2022050924,2022-05-09-24:00,20220509
2022051006,2022-05-10-06:00,20220510
2022051012,2022-05-10-12:00,20220510
2022051018,2022-05-10-18:00,20220510
2022051024,2022-05-10-24:00,20220510
2022051106,2022-05-11-06:00,20220511
2022051112,2022-05-11-12:00,20220511
2022051118,2022-05-11-18:00,20220511
2022051124,2022-05-11-24:00,20220511
2022051206,2022-05-12-06:00,20220512
2022051212,2022-05-12-12:00,20220512
2022051218,2022-05-12-18:00,20220512
2022051224,2022-05-12-24:00,20220512
2022051306,2022-05-13-06:00,20220513
2022051312,2022-05-13-12:00,20220513
2022051318,2022-05-13-18:00,20220513
2022051324,2022-05-13-24:00,20220513
2022051406,2022-05-14-06:00,20220514
2022051412,2022-05-14-12:00,20220514
2022051418,2022-05-14-18:00,20220514
2022051424,2022-05-14-24:00,20220514
2022051506,2022-05-15-06:00,20220515
2022051512,2022-05-15-12:00,20220515
2022051518,2022-05-15-18:00,20220515
2022051524,2022-05-15-24:00,20220515
2022051606,2022-05-16-06:00,20220516
2022051612,2022-05-16-12:00,20220516
2022051618,2022-05-16-18:00,20220516
2022051624,2022-05-16-24:00,20220516
2022051706,2022-05-17-06:00,20220517
2022051712,2022-05-17-12:00,20220517
2022051718,2022-05-17-18:00,20220517
2022051724,2022-05-17-24:00,20220517
2022051806,2022-05-18-06:00,20220518
2022051812,2022-05-18-12:00,20220518
2022051818,2022-05-18-18:00,20220518
2022051824,2022-05-18-24:00,20220518
2022051906,2022-05-19-06:00,20220519
2022051912,2022-05-19-12:00,20220519
2022051918,2022-05-19-18:00,20220519
2022051924,2022-05-19-24:00,20220519
2022052006,2022-05-20-06:00,20220520
2022052012,2022-05-20-12:00,20220520
2022052018,2022-05-20-18:00,20220520
2022052024,2022-05-20-24:00,20220520
2022052106,2022-05-21-06:00,20220521
2022052112,2022-05-21-12:00,20220521
2022052118,2022-05-21-18:00,20220521
2022052124,2022-05-21-24:00,20220521
2022052206,2022-05-22-06:00,20220522
2022052212,2022-05-22-12:00,20220522
2022052218,2022-05-22-18:00,20220522
2022052224,2022-05-22-24:00,20220522
2022052306,2022-05-23-06:00,20220523
2022052312,2022-05-23-12:00,20220523
2022052318,2022-05-23-18:00,20220523
2022052324,2022-05-23-24:00,20220523
2022052406,2022-05-24-06:00,20220524
2022052412,2022-05-24-12:00,20220524
2022052418,2022-05-24-18:00,20220524
2022052424,2022-05-24-24:00,20220524
2022052506,2022-05-25-06:00,20220525
2022052512,2022-05-25-12:00,20220525
2022052518,2022-05-25-18:00,20220525
2022052524,2022-05-25-24:00,20220525
2022052606,2022-05-26-06:00,20220526
2022052612,2022-05-26-12:00,20220526
2022052618,2022-05-26-18:00,20220526
2022052624,2022-05-26-24:00,20220526
2022052706,2022-05-27-06:00,20220527
2022052712,2022-05-27-12:00,20220527
2022052718,2022-05-27-18:00,20220527
2022052724,2022-05-27-24:00,20220527
2022052806,2022-05-28-06:00,20220528
2022052812,2022-05-28-12:00,20220528
2022052818,2022-05-28-18:00,20220528
2022052824,2022-05-28-24:00,20220528
2022052906,2022-05-29-06:00,20220529
2022052912,2022-05-29-12:00,20220529
2022052918,2022-05-29-18:00,20220529
2022052924,2022-05-29-24:00,20220529
2022053006,2022-05-30-06:00,20220530
2022053012,2022-05-30-12:00,20220530
2022053018,2022-05-30-18:00,20220530
2022053024,2022-05-30-24:00,20220530
2022053106,2022-05-31-06:00,20220531
2022053112,2022-05-31-12:00,20220531
2022053118,2022-05-31-18:00,20220531
2022053124,2022-05-31-24:00,20220531
2022060106,2022-06-01-06:00,20220601
2022060112,2022-06-01-12:00,20220601
2022060118,2022-06-01-18:00,20220601
2022060124,2022-06-01-24:00,20220601
2022060206,2022-06-02-06:00,20220602
2022060212,2022-06-02-12:00,20220602
2022060218,2022-06-02-18:00,20220602
2022060224,2022-06-02-24:00,20220602
2022060306,2022-06-03-06:00,20220603
2022060312,2022-06-03-12:00,20220603
2022060318,2022-06-03-18:00,20220603
2022060324,2022-06-03-24:00,20220603
2022060406,2022-06-04-06:00,20220604
2022060412,2022-06-04-12:00,20220604
2022060418,2022-06-04-18:00,20220604
2022060424,2022-06-04-24:00,20220604
2022060506,2022-06-05-06:00,20220605
2022060512,2022-06-05-12:00,20220605
2022060518,2022-06-05-18:00,20220605
2022060524,2022-06-05-24:00,20220605
2022060606,2022-06-06-06:00,20220606
2022060612,2022-06-06-12:00,20220606
2022060618,2022-06-06-18:00,20220606
2022060624,2022-06-06-24:00,20220606
2022060706,2022-06-07-06:00,20220607
2022060712,2022-06-07-12:00,20220607
2022060718,2022-06-07-18:00,20220607
2022060724,2022-06-07-24:00,20220607
2022060806,2022-06-08-06:00,20220608
2022060812,2022-06-08-12:00,20220608
2022060818,2022-06-08-18:00,20220608
