TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
20220101,2022,6,4,5
20220102,2022,6,4,5
20220103,2022,6,4,5
20220104,2022,6,4,5
20220105,2022,6,4,5
20220106,2022,6,4,5
20220107,2022,6,4,5
20220108,2022,6,4,5
20220109,2022,6,4,5
20220110,2022,6,4,5
20220111,2022,6,4,5
20220112,2022,6,4,5
20220113,2022,6,4,5
20220114,2022,6,4,5
20220115,2022,6,4,5
20220116,2022,6,4,5
20220117,2022,6,4,5
20220118,2022,6,4,5
20220119,2022,6,4,5
20220120,2022,6,4,5
20220121,2022,6,4,5
20220122,2022,6,4,5
20220123,2022,6,4,5
20220124,2022,6,4,5
20220125,2022,6,4,5
20220126,2022,6,4,5
20220127,2022,6,4,5
20220128,2022,6,4,5
20220129,2022,6,4,5
20220130,2022,6,4,5
20220131,2022,6,4,5
20220201,2022,6,4,5
20220202,2022,6,4,5
20220203,2022,6,4,5
20220204,2022,6,4,5
20220205,2022,6,4,5
20220206,2022,6,4,5
20220207,2022,6,4,5
20220208,2022,6,4,5
20220209,2022,6,4,5
20220210,2022,6,4,5
20220211,2022,6,4,5
20220212,2022,6,4,5
20220213,2022,6,4,5
20220214,2022,6,4,5
20220215,2022,6,4,5
20220216,2022,6,4,5
20220217,2022,6,4,5
20220218,2022,6,4,5
20220219,2022,6,4,5
20220220,2022,6,4,5
20220221,2022,6,4,5
20220222,2022,6,4,5
20220223,2022,6,4,5
20220224,2022,6,4,5
20220225,2022,6,4,5
20220226,2022,6,4,5
20220227,2022,6,4,5
20220228,2022,6,4,5
20220301,2022,6,4,5
20220302,2022,6,4,5
20220303,2022,6,4,5
20220304,2022,6,4,5
20220305,2022,6,4,5
20220306,2022,6,4,5
20220307,2022,6,4,5
20220308,2022,6,4,5
20220309,2022,6,4,5
20220310,2022,6,4,5
20220311,2022,6,4,5
20220312,2022,6,4,5
20220313,2022,6,4,5
20220314,2022,6,4,5
20220315,2022,6,4,5
20220316,2022,6,4,5
20220317,2022,6,4,5
20220318,2022,6,4,5
20220319,2022,6,4,5
20220320,2022,6,4,5
20220321,2022,6,4,5
20220322,2022,6,4,5
20220323,2022,6,4,5
20220324,2022,6,4,5
20220325,2022,6,4,5
20220326,2022,6,4,5
20220327,2022,6,4,5
20220328,2022,6,4,5
20220329,2022,6,4,5
20220330,2022,6,4,5
20220331,2022,6,4,5
20220401,2022,6,4,5
20220402,2022,6,4,5
20220403,2022,6,4,5
20220404,2022,6,4,5
20220405,2022,6,4,5
20220406,2022,6,4,5
20220407,2022,6,4,5
20220408,2022,6,4,5
20220409,2022,6,4,5
20220410,2022,6,4,5
20220411,2022,6,4,5
20220412,2022,6,4,5
20220413,2022,6,4,5
20220414,2022,6,4,5
20220415,2022,6,4,5
20220416,2022,6,4,5
20220417,2022,6,4,5
20220418,2022,6,4,5
20220419,2022,6,4,5
20220420,2022,6,4,5
20220421,2022,6,4,5
20220422,2022,6,4,5
20220423,2022,6,4,5
20220424,2022,6,4,5
20220425,2022,6,4,5
20220426,2022,6,4,5
20220427,2022,6,4,5
20220428,2022,6,4,5
20220429,2022,6,4,5
20220430,2022,6,4,5
20220501,2022,6,4,5
20220502,2022,6,4,5
20220503,2022,6,4,5
20220504,2022,6,4,5
20220505,2022,6,4,5
20220506,2022,6,4,5
20220507,2022,6,4,5
20220508,2022,6,4,5
20220509,2022,6,4,5
20220510,2022,6,4,5
20220511,2022,6,4,5
20220512,2022,6,4,5
20220513,2022,6,4,5
20220514,2022,6,4,5
20220515,2022,6,4,5
20220516,2022,6,4,5
20220517,2022,6,4,5
20220518,2022,6,4,5
20220519,2022,6,4,5
20220520,2022,6,4,5
20220521,2022,6,4,5
20220522,2022,6,4,5
20220523,2022,6,4,5
20220524,2022,6,4,5
20220525,2022,6,4,5
20220526,2022,6,4,5
20220527,2022,6,4,5
20220528,2022,6,4,5
20220529,2022,6,4,5
20220530,2022,6,4,5
20220531,2022,6,4,5
20220601,2022,6,4,5
20220602,2022,6,4,5
20220603,2022,6,4,5
20220604,2022,6,4,5
20220605,2022,6,4,5
20220606,2022,6,4,5
20220607,2022,6,4,5
20220608,2022,6,4,5
20220609,2022,6,4,5
20220610,2022,6,4,5
20220611,2022,6,4,5
20220612,2022,6,4,5
20220613,2022,6,4,5
20220614,2022,6,4,5
20220615,2022,6,4,5
20220616,2022,6,4,5
20220617,2022,6,4,5
20220618,2022,6,4,5
20220619,2022,6,4,5
20220620,2022,6,4,5
20220621,2022,6,4,5
20220622,2022,6,4,5
20220623,2022,6,4,5
20220624,2022,6,4,5
20220625,2022,6,4,5
20220626,2022,6,4,5
20220627,2022,6,4,5
20220628,2022,6,4,5
20220629,2022,6,4,5
20220630,2022,6,4,5
20220701,2022,6,4,5
20220702,2022,6,4,5
20220703,2022,6,4,5
20220704,2022,6,4,5
20220705,2022,6,4,5
20220706,2022,6,4,5
20220707,2022,6,4,5
20220708,2022,6,4,5
20220709,2022,6,4,5
20220710,2022,6,4,5
20220711,2022,6,4,5
20220712,2022,6,4,5
20220713,2022,6,4,5
20220714,2022,6,4,5
20220715,2022,6,4,5
20220716,2022,6,4,5
20220717,2022,6,4,5
20220718,2022,6,4,5
20220719,2022,6,4,5
20220720,2022,6,4,5
20220721,2022,6,4,5
20220722,2022,6,4,5
20220723,2022,6,4,5
20220724,2022,6,4,5
20220725,2022,6,4,5
20220726,2022,6,4,5
20220727,2022,6,4,5
20220728,2022,6,4,5
20220729,2022,6,4,5
20220730,2022,6,4,5
20220731,2022,6,4,5
20220801,2022,6,4,5
20220802,2022,6,4,5
20220803,2022,6,4,5
20220804,2022,6,4,5
20220805,2022,6,4,5
20220806,2022,6,4,5
20220807,2022,6,4,5
20220808,2022,6,4,5
20220809,2022,6,4,5
20220810,2022,6,4,5
20220811,2022,6,4,5
20220812,2022,6,4,5
20220813,2022,6,4,5
20220814,2022,6,4,5
20220815,2022,6,4,5
20220816,2022,6,4,5
20220817,2022,6,4,5
20220818,2022,6,4,5
20220819,2022,6,4,5
20220820,2022,6,4,5
20220821,2022,6,4,5
20220822,2022,6,4,5
20220823,2022,6,4,5
20220824,2022,6,4,5
20220825,2022,6,4,5
20220826,2022,6,4,5
20220827,2022,6,4,5
20220828,2022,6,4,5
20220829,2022,6,4,5
20220830,2022,6,4,5
20220831,2022,6,4,5
20220901,2022,6,4,5
20220902,2022,6,4,5
20220903,2022,6,4,5
20220904,2022,6,4,5
20220905,2022,6,4,5
20220906,2022,6,4,5
20220907,2022,6,4,5
20220908,2022,6,4,5
20220909,2022,6,4,5
20220910,2022,6,4,5
20220911,2022,6,4,5
20220912,2022,6,4,5
20220913,2022,6,4,5
20220914,2022,6,4,5
20220915,2022,6,4,5
20220916,2022,6,4,5
20220917,2022,6,4,5
20220918,2022,6,4,5
20220919,2022,6,4,5
20220920,2022,6,4,5
20220921,2022,6,4,5
20220922,2022,6,4,5
20220923,2022,6,4,5
20220924,2022,6,4,5
20220925,2022,6,4,5
20220926,2022,6,4,5
20220927,2022,6,4,5
20220928,2022,6,4,5
20220929,2022,6,4,5
20220930,2022,6,4,5
20221001,2022,6,4,5
20221002,2022,6,4,5
20221003,2022,6,4,5
20221004,2022,6,4,5
20221005,2022,6,4,5
20221006,2022,6,4,5
20221007,2022,6,4,5
20221008,2022,6,4,5
20221009,2022,6,4,5
20221010,2022,6,4,5
20221011,2022,6,4,5
20221012,2022,6,4,5
20221013,2022,6,4,5
20221014,2022,6,4,5
20221015,2022,6,4,5
20221016,2022,6,4,5
20221017,2022,6,4,5
20221018,2022,6,4,5
20221019,2022,6,4,5
20221020,2022,6,4,5
20221021,2022,6,4,5
20221022,2022,6,4,5
20221023,2022,6,4,5
20221024,2022,6,4,5
20221025,2022,6,4,5
20221026,2022,6,4,5
20221027,2022,6,4,5
20221028,2022,6,4,5
20221029,2022,6,4,5
20221030,2022,6,4,5
20221031,2022,6,4,5
20221101,2022,6,4,5
20221102,2022,6,4,5
20221103,2022,6,4,5
20221104,2022,6,4,5
20221105,2022,6,4,5
20221106,2022,6,4,5
20221107,2022,6,4,5
20221108,2022,6,4,5
20221109,2022,6,4,5
20221110,2022,6,4,5
20221111,2022,6,4,5
20221112,2022,6,4,5
20221113,2022,6,4,5
20221114,2022,6,4,5
20221115,2022,6,4,5
20221116,2022,6,4,5
20221117,2022,6,4,5
20221118,2022,6,4,5
20221119,2022,6,4,5
20221120,2022,6,4,5
20221121,2022,6,4,5
20221122,2022,6,4,5
20221123,2022,6,4,5
20221124,2022,6,4,5
20221125,2022,6,4,5
20221126,2022,6,4,5
20221127,2022,6,4,5
20221128,2022,6,4,5
20221129,2022,6,4,5
20221130,2022,6,4,5
