GAS_ZONES,TIMESERIES,gas_demand_ref_quantity,gas_ref_price
AL,20250101,1777071.37614543,8.61004169018977
AL,20250102,1984157.65003542,8.54157781511774
AL,20250103,2543877.52941053,8.4731139400457
AL,20250104,2670920.57371681,8.38474051052394
AL,20250105,2212957.53771332,8.18468981725808
AL,20250106,1978166.86957319,7.95912671400371
AL,20250107,1790678.50287654,7.93957116937128
AL,20250108,1685315.21540788,7.92001562473884
AL,20250109,1641393.06162518,7.9004600801064
AL,20250110,1615932.13569705,8.06161996239786
AL,20250111,1672235.81715638,7.57327147686582
AL,20250112,1967643.61741046,7.22524045828805
AL,20250113,2458606.51364752,7.09432598117923
AL,20250114,2592570.05330829,6.97590182387115
AL,20250115,2247848.44216747,6.85747766656308
AL,20250116,2016642.14121302,6.73905350925501
AL,20250117,1753084.73624094,6.62062935194694
AL,20250118,2006735.47123818,6.59062197554372
AL,20250119,2316153.30273646,6.26816706035723
AL,20250120,1859369.36177922,5.94339960720277
AL,20250121,1648361.8462793,6.10768114432366
AL,20250122,1685747.64702073,6.27196268144456
AL,20250123,1635781.13780163,6.43624421856545
AL,20250124,1793053.86104853,7.02602165237339
AL,20250125,1770589.68786274,7.07747214453527
AL,20250126,1652585.3509778,7.29245880408119
AL,20250127,1793179.84922922,7.07197125736606
AL,20250128,2043604.52578453,7.2069076752452
AL,20250129,2184531.74688791,7.34184409312434
AL,20250130,2179465.94429385,7.47678051100348
AL,20250131,1942739.61451108,6.94897274737681
AL,20250201,1700071.26416681,6.44520034265531
AL,20250202,1648926.93965872,6.41176838442151
AL,20250203,1700878.30906214,6.71371324731861
AL,20250204,1645835.23899189,6.79357750559123
AL,20250205,1654345.59623918,6.87344176386386
AL,20250206,1798094.23547644,6.95330602213648
AL,20250207,1919982.19560062,7.37447579859665
AL,20250208,1910448.44829251,7.05847793243851
AL,20250209,2097429.19858255,7.14004528544256
AL,20250210,2184711.79202992,7.1934339401935
AL,20250211,2389338.15956318,7.1315611658275
AL,20250212,3097243.70247277,7.0696883914615
AL,20250213,2941487.43993788,7.0078156170955
AL,20250214,2379237.92315734,7.20643669214015
AL,20250215,2005659.24713565,7.37927924921279
AL,20250216,1712206.2454585,7.1741417578981
AL,20250217,1721406.8016212,7.75312956033844
AL,20250218,1788129.47128642,7.72220743111959
AL,20250219,1923255.56297363,7.69128530190073
AL,20250220,2236328.24700241,7.66036317268187
AL,20250221,1910217.76695313,7.62944104346301
AL,20250222,1724494.8755288,7.54055197626525
AL,20250223,1601007.9674437,7.7706510770335
AL,20250224,1660925.10981832,7.53683129999294
AL,20250225,2007053.57254988,7.48669516099042
AL,20250226,2031678.26663407,7.4365590219879
AL,20250227,1780722.11932615,7.38642288298538
AL,20250228,1632741.38704889,7.06604950759567
AL,20250301,1549669.95043559,7.09150936236669
AL,20250302,1616692.50580675,6.88719592498303
AL,20250303,1668833.26953013,6.81802652301923
AL,20250304,1708339.2597332,6.74885712105543
AL,20250305,2050961.61783175,6.67968771909163
AL,20250306,1961762.84160924,6.64913162087207
AL,20250307,1967280.56054769,6.474079592358
AL,20250308,1724692.61035083,6.4724836764771
AL,20250309,1638800.62279196,6.38422458339206
AL,20250310,1663462.53012838,6.34416281458548
AL,20250311,1856412.19402133,6.3041010457789
AL,20250312,1683079.91014787,6.26403927697233
AL,20250313,1539420.19050772,6.20477682299697
AL,20250314,1559868.6072009,6.14554330161106
AL,20250315,1680697.52240632,5.97095787070235
AL,20250316,1755329.70132553,5.7992738206968
AL,20250317,1794504.06318249,5.92577732212161
AL,20250318,1775858.94279546,6.05228082354642
AL,20250319,1794512.77971827,6.17878432497123
AL,20250320,1813137.05816463,6.32466147286515
AL,20250321,1816632.47731854,6.38394819041153
AL,20250322,1782116.7500679,6.32768873708879
AL,20250323,1660188.82246003,5.98239733100241
AL,20250324,1616223.20023344,6.07059302989207
AL,20250325,1627284.46018813,6.15878872878173
AL,20250326,1688578.07180748,6.2469844276714
AL,20250327,1710666.06144341,6.0459824900948
AL,20250328,1764598.60526796,5.93168922924023
AL,20250329,1771560.26602368,5.84628294527779
AL,20250330,1731541.7065291,5.78978439782918
AL,20250331,1684796.94970286,5.67529171868654
AL,20250401,1653653.64159459,5.56079903954389
AL,20250402,1728517.40994852,5.44630636040125
AL,20250403,1804806.88780599,5.62146995838065
AL,20250404,1789078.84997131,5.97061865469265
AL,20250405,1725995.16188673,5.74012374816882
AL,20250406,1628262.94981977,5.74875301535694
AL,20250407,1606001.75267071,5.75738228254507
AL,20250408,1652628.68421733,5.76601154973319
AL,20250409,1665546.62987613,5.77464081692131
AL,20250410,1694426.48753444,5.77602337243249
AL,20250411,1718948.98047926,5.54514875633811
AL,20250412,1697111.34450129,5.43031986347605
AL,20250413,1748474.98395203,5.43162008630831
AL,20250414,1711601.64337315,5.38176003764735
AL,20250415,1710001.92692573,5.3318999889864
AL,20250416,1701737.16275338,5.28203994032544
AL,20250417,1706776.62098565,5.19251352431089
AL,20250418,1586280.28093771,5.02376643741492
AL,20250419,1569515.23209519,4.85994734942226
AL,20250420,1536095.3159329,4.67523264785319
AL,20250421,1570141.73773046,4.62999413546083
AL,20250422,1557650.76499332,4.58475562306847
AL,20250423,1600080.79332602,4.5395171106761
AL,20250424,1628448.58110711,4.62685709159428
AL,20250425,1710696.85171778,4.57030246887368
AL,20250426,1648128.14808516,4.71610178397958
AL,20250427,1708253.5272264,4.50183677680786
AL,20250428,1712852.01359325,4.4385328894105
AL,20250429,1691516.07641159,4.37522900201315
AL,20250430,1758684.89288847,4.3119251146158
AL,20250501,1851569.93612407,4.5978988144161
AL,20250502,1916812.49001584,4.53531984244453
AL,20250503,1935475.23434663,4.39646313863345
AL,20250504,1836531.44427078,4.3178525194893
AL,20250505,1710229.45995251,4.2243127994168
AL,20250506,1876297.77249288,4.13077307934429
AL,20250507,1936741.24865668,4.03723335927179
