GAS_ZONES,gas_storage_predet_build_year,gas_storage_type,gas_storage_predet_cap,gas_storage_removed_cap,gas_storage_total_cap
AL,1999,salt cavern,2480393.75415282,0,2480393.75415282
AL,2001,depleted field,1720651.85185185,0,1720651.85185185
AL,2002,salt cavern,2450145.04983389,0,4930538.80398671
AL,2003,depleted field,615133.037037037,0,2335784.88888889
AL,2003,salt cavern,1346067.34219269,0,6276606.1461794
AL,2006,depleted field,7127800.2962963,0,9463585.18518518
AL,2008,depleted field,0,130585.185185185,9333000
AL,2008,salt cavern,6063693.8538206,0,12340300
AL,2010,salt cavern,4407250,0,16747550
AL,2011,depleted field,2281400,0,11614400
AL,2014,salt cavern,6014600,0,22762150
AR,1999,depleted field,10200284.708624,0,10200284.708624
AR,2000,depleted field,0,923465.213389274,9276819.49523472
AR,2008,depleted field,5759680.50476528,0,15036500
AR,2009,depleted field,0,624274,14412226
AR,2011,depleted field,0,1930894,12481332
AR,2012,depleted field,147254,0,12628586
AR,2017,depleted field,0,3405508,9223078
CA,1999,depleted field,236276834.983432,0,236276834.983432
CA,1999,salt cavern,1464658.8,0,1464658.8
CA,2000,salt cavern,75286.2,0,1539945
CA,2001,depleted field,54255640.9855412,0,290532475.968973
CA,2001,salt cavern,0,1539945,0
CA,2002,depleted field,2493499.67478567,0,293025975.643759
CA,2003,depleted field,0,20126628.8764594,272899346.767299
CA,2004,depleted field,19656191.8671586,0,292555538.634458
CA,2005,depleted field,0,305875.818791211,292249662.815667
CA,2006,depleted field,4273085.18851274,0,296522748.004179
CA,2007,depleted field,1835254.91274709,0,298358002.916927
CA,2008,depleted field,0,4061550.91692656,294296452
CA,2009,depleted field,12755100,0,307051552
CA,2010,depleted field,15555000,0,322606552
CA,2011,depleted field,25199100,0,347805652
CA,2012,depleted field,14414300,0,362219952
CA,2013,aquifer,10370000,0,10370000
CA,2013,depleted field,15555000,0,377774952
CA,2015,depleted field,1244400,0,379019352
CA,2016,aquifer,186660,0,10556660
CA,2016,depleted field,0,4396880,374622472
CA,2017,depleted field,1866600,0,376489072
CA,2022,aquifer,0,10556660,0
CA,2022,depleted field,11313670,52988626,387802742
CO,1999,depleted field,52751544.8714424,0,52751544.8714424
CO,2000,depleted field,332083.84255258,0,53083628.713995
CO,2002,depleted field,438541.342318237,0,53522170.0563132
CO,2003,depleted field,529.639302320778,0,53522699.6956155
CO,2005,depleted field,0,1582032.59602003,51940667.0995955
CO,2008,depleted field,0,7786244.09959551,44154423
CO,2009,depleted field,5755350,0,49909773
CO,2010,depleted field,1026630,0,50936403
CO,2011,depleted field,0,425170,50511233
CO,2012,depleted field,12312301,0,62823534
CO,2014,depleted field,3310104,0,66133638
CO,2017,depleted field,4562800,0,70696438
CO,2022,depleted field,4962045,0,75658483
IA,1999,aquifer,88777042.8826203,0,88777042.8826203
IA,2006,aquifer,649905.145553589,0,89426948.0281739
IA,2007,aquifer,987205.916095898,0,90414153.9442698
IA,2008,aquifer,167796.055730194,0,90581950
IA,2009,aquifer,66368,0,90648318
IA,2010,aquifer,3317363,0,93965681
IA,2011,aquifer,518500,0,94484181
IA,2012,aquifer,0,829600,93654581
IL,1999,aquifer,214397583.290257,0,214397583.290257
IL,1999,depleted field,77360451.4336175,0,77360451.4336175
IL,2002,aquifer,13103546.7244872,0,227501130.014744
IL,2002,depleted field,605107.334487125,0,77965558.7681046
IL,2003,aquifer,0,6948257.64897546,220552872.365769
IL,2003,depleted field,25833544.8775912,0,103799103.645696
IL,2004,aquifer,24744.3023649752,0,220577616.668134
IL,2004,depleted field,5042561.12072597,0,108841664.766422
IL,2005,aquifer,32120693.9897583,0,252698310.657892
IL,2005,depleted field,0,56534674.0050192,52306990.7614026
IL,2006,aquifer,797572.164601415,0,253495882.822493
IL,2007,aquifer,0,1173052.56676769,252322830.255726
IL,2008,aquifer,1638469.74427435,0,253961300
IL,2008,depleted field,1013475.23859742,0,53320466
IL,2009,aquifer,7719428,0,261680728
IL,2010,aquifer,0,37551844,224128884
IL,2010,depleted field,37280150,0,90600616
IL,2011,aquifer,0,1156255,222972629
IL,2012,aquifer,598349,0,223570978
IL,2013,aquifer,78760150,0,302331128
IL,2013,depleted field,0,78397200,12203416
IL,2014,aquifer,1037000,0,303368128
IL,2015,aquifer,0,724863,302643265
IL,2017,aquifer,0,42869580,259773685
IL,2017,depleted field,42869580,0,55072996
IL,2022,aquifer,1389580,1389580,261163265
IL,2022,depleted field,1596980,1389580,55280396
IN,1999,aquifer,23717839.6887497,0,23717839.6887497
IN,1999,depleted field,7835180.70241199,0,7835180.70241199
IN,2001,aquifer,0,9342022.91878528,14375816.7699645
IN,2001,depleted field,14930187.9587224,0,22765368.6611344
IN,2002,aquifer,0,474176.155239664,13901640.6147248
IN,2002,depleted field,599607.627255756,0,23364976.2883902
IN,2003,aquifer,6499725.74274815,0,20401366.3574729
IN,2003,depleted field,0,9820305.74408238,13544670.5443078
IN,2004,depleted field,0,83919.8918482512,13460750.6524595
IN,2005,aquifer,81287.3408982269,0,20482653.6983712
IN,2005,depleted field,150636.205867611,0,13611386.8583271
IN,2006,aquifer,0,37883.9150482491,20444769.7833229
IN,2006,depleted field,153153.802623058,0,13764540.6609502
IN,2008,aquifer,272416.216677073,0,20717186
IN,2008,depleted field,0,500273.660950193,13264267
IN,2009,aquifer,0,633607,20083579
IN,2010,aquifer,72590,0,20156169
IN,2010,depleted field,781898,0,14046165
IN,2011,aquifer,43554,0,20199723
IN,2012,aquifer,0,273768,19925955
IN,2012,depleted field,273768,0,14319933
IN,2015,aquifer,863821,0,20789776
IN,2015,depleted field,0,273768,14046165
IN,2017,aquifer,83997,0,20873773
IN,2017,depleted field,406504,0,14452669
IN,2022,aquifer,11407,932263,20885180
IN,2022,depleted field,276879,1214327,13553590
KS,1999,depleted field,134073759.469847,0,134073759.469847
KS,1999,salt cavern,2463912,0,2463912
KS,2000,depleted field,0,315466.608948842,133758292.860898
KS,2001,depleted field,495733.242633909,0,134254026.103532
KS,2002,depleted field,216319.960422069,0,134470346.063954
KS,2002,salt cavern,0,1716525.36,747386.64
KS,2003,depleted field,0,5081716.4035818,129388629.660372
KS,2003,salt cavern,684.420000000042,0,748071.06
KS,2004,depleted field,564234.563434228,0,129952864.223806
KS,2005,depleted field,134298.642095372,0,130087162.865901
KS,2006,depleted field,0,612906.554529205,129474256.311372
KS,2006,salt cavern,0,3422.09999999998,744648.96
KS,2007,depleted field,315917.275533065,0,129790173.586905
KS,2007,salt cavern,0,107453.94,637195.02
KS,2008,depleted field,0,6506428.58690536,123283745
KS,2008,salt cavern,0,248320.02,388875
KS,2009,depleted field,81923,0,123365668
KS,2010,depleted field,3992450,0,127358118
KS,2011,depleted field,37332,0,127395450
KS,2012,depleted field,122366,0,127517816
KS,2013,depleted field,2074,0,127519890
KS,2014,depleted field,10370,0,127530260
KS,2014,salt cavern,0,388875,0
KS,2016,depleted field,2074,0,127532334
KY,1999,aquifer,6372987.76299854,0,6372987.76299854
KY,1999,depleted field,103488874.043646,0,103488874.043646
